window_id,video_id,film_flag,clap_sing,singing_prob,var_db,stratum,human_label,annotator_note,forced_flag_sing
WzFTOmosXpg_003,WzFTOmosXpg,1,-2.9569857,0.0067460150457918,9.8566,mid,unset,,0
X0gS6HRSeVw_003,X0gS6HRSeVw,1,-1.1003573,0.0150411175563931,7.107,panns_high_only,unset,,0
XBgO4iQ6JwY_005,XBgO4iQ6JwY,0,-2.4355614,0.004922604188323,24.0608,mid,unset,,0
XNW1Cjr6bLg_010,XNW1Cjr6bLg,1,-4.5090313,0.0010320933070033,6.508,both_low,unset,,0
XQx_179B1l8_004,XQx_179B1l8,1,-2.3469696,0.0020868349820375,7.5138,mid,unset,,0
XfuquiAUeSY_000,XfuquiAUeSY,1,-1.3675379,0.0093713933601975,17.822,panns_high_only,unset,,0
XrKoDnOcgmk_004,XrKoDnOcgmk,0,-3.7200987,0.0010980959050357,6.2431,both_low,unset,,0
ZLG2nJtty3c_004,ZLG2nJtty3c,1,-3.5667233,0.0015146356308832,6.5104,mid,unset,,0
_1tbZHzRh6w_005,_1tbZHzRh6w,1,-4.2282076,0.0009148934623226,6.2939,both_low,unset,,0
abLpB3cQe0c_009,abLpB3cQe0c,0,-0.10845481,0.0045062811113893,13.7111,clap_high_only,unset,,0
am5t5f9S3Z8_006,am5t5f9S3Z8,0,3.1033595,0.0938640683889389,48.0229,both_high,unset,,1
bOPZAme1kGA_001,bOPZAme1kGA,1,-4.4933982,0.0091093145310878,7.0233,panns_high_only,unset,,0
bOPZAme1kGA_005,bOPZAme1kGA,1,-4.4368377,0.0009611821733415,6.3489,both_low,unset,,0
bWLJ15GJdxs_004,bWLJ15GJdxs,1,2.3621149,0.1519921422004699,13.516,both_high,unset,,0
bWLJ15GJdxs_011,bWLJ15GJdxs,1,2.1301155,0.2817791700363159,7.6261,both_high,unset,,0
bxZQeJ-hKE8_000,bxZQeJ-hKE8,1,-2.3882461,0.0037881722673773,42.7819,mid,unset,,0
c0DEMuw4n1A_001,c0DEMuw4n1A,1,0.08610937,0.0079409722238779,23.47,clap_high_only,unset,,0
cXiZxKCrbyQ_002,cXiZxKCrbyQ,1,-1.4960326,0.0087050376459956,3.4364,mid,unset,,0
d5zTJ6WtNaA_001,d5zTJ6WtNaA,1,-1.4950238,0.0020661680027842,11.7963,mid,unset,,0
d6Pn3NXtw7U_006,d6Pn3NXtw7U,1,0.77002341,0.0124625694006681,18.8419,both_high,unset,,0
d6Pn3NXtw7U_009,d6Pn3NXtw7U,1,-4.296196,0.0009244124521501,6.2813,both_low,unset,,0
d9DN-AWVK9U_003,d9DN-AWVK9U,1,-3.021667,0.0018660190980881,6.6798,mid,unset,,0
d9DN-AWVK9U_005,d9DN-AWVK9U,1,0.46042484,0.0010370722739025,36.2135,clap_high_only,unset,,0
dF-JxO9T-i8_004,dF-JxO9T-i8,1,1.2950304,0.2368705421686172,44.7656,both_high,unset,,0
dF-JxO9T-i8_005,dF-JxO9T-i8,1,1.159664,0.1877521723508834,38.6254,both_high,unset,,0
ddrPXAcwXJQ_010,ddrPXAcwXJQ,1,4.9365616,0.0308081731200218,37.6342,both_high,unset,,0
ddrPXAcwXJQ_012,ddrPXAcwXJQ,1,-4.2921038,0.000955963274464,6.3679,both_low,unset,,0
dfe2AOEcCcg_002,dfe2AOEcCcg,1,-2.9139152,0.0060453070327639,8.8652,mid,unset,,0
dfe2AOEcCcg_005,dfe2AOEcCcg,1,-2.4819705,0.0011718174209818,6.2358,mid,unset,,0
dfe2AOEcCcg_008,dfe2AOEcCcg,1,0.25388363,0.0021669885609298,18.3448,clap_high_only,unset,,0
