window_id,rms_vocals,rms_rest,var_db,demucs_ok,error
3kTKtsSunlg_029,4.09327736e-02,4.57970220e-04,39.0247,1,
3kTKtsSunlg_030,3.21654838e-02,1.23428399e-03,28.3195,1,
3kTKtsSunlg_031,3.27919185e-02,1.37220646e-03,27.5669,1,
3kTKtsSunlg_032,3.28914441e-02,7.56674979e-04,32.7635,1,
3kTKtsSunlg_033,2.86576944e-02,2.16717143e-04,42.4270,1,
3zxz0AndPt0_000,1.99599205e-01,6.52290903e-02,9.7143,1,
3zxz0AndPt0_001,1.33304761e-01,6.40388604e-02,6.3680,1,
47F3lTVpOxc_000,1.48477942e-01,3.33977496e-02,12.9589,1,
47F3lTVpOxc_001,1.09286058e-01,3.13213748e-02,10.8545,1,
47F3lTVpOxc_002,1.28402474e-01,4.59575044e-02,8.9243,1,
47F3lTVpOxc_003,1.32096295e-01,4.85099168e-02,8.7012,1,
47F3lTVpOxc_004,1.45007956e-01,3.02059603e-02,13.6260,1,
47F3lTVpOxc_005,1.31460360e-01,4.79621071e-02,8.7579,1,
47F3lTVpOxc_006,7.42034261e-02,3.59186807e-02,6.3021,1,
4BE3O130ubk_000,1.64241241e-01,3.30395189e-02,13.9290,1,
4BE3O130ubk_001,1.12741744e-01,3.33499961e-02,10.5798,1,
4BE3O130ubk_002,9.11227410e-02,5.39546080e-02,4.5520,1,
4BE3O130ubk_003,1.68118096e-01,2.10569661e-02,18.0444,1,
4BE3O130ubk_004,1.73397546e-01,8.27362223e-02,6.4269,1,
4BE3O130ubk_005,1.33158297e-01,6.51067922e-02,6.2148,1,
4Eyz895ZCwE_000,1.97671227e-01,3.23842745e-02,15.7122,1,
4Eyz895ZCwE_001,1.91685570e-01,5.37468304e-02,11.0447,1,
4Eyz895ZCwE_002,1.89689867e-01,5.70566264e-02,10.4348,1,
4Eyz895ZCwE_003,1.34560407e-01,1.72257056e-02,17.8548,1,
4FiG0IQi__Y_000,6.95948158e-02,2.22065467e-02,9.9219,1,
