video_id,title,upload_date,n_windows,speech_s,content_type,matched_keywords,film_related_core,n_syllables_AB,n_exact_AB,n_windows_AB,agreement_AB
0tOUk3VfuGg,【蓮香樓結業】成也老餅，敗也老餅,20220824,17,240.13,contemporary,,False,720,650,15,0.9027777777777778
0xkI0AW6xfQ,【四屆亞洲影后林黛的人生(上)】成名之路：一抵巔峰甚艱難，再抵巔峰非等閒；三抵巔峰難上難，四抵巔峰人驚嘆,20241225,20,479.03,film_clip,林黛,False,1411,1250,15,0.8858965272856131
10G-1WZq5jc,【四屆亞洲影后林黛的人生(下)】走上絕路：身處高峰，最感虛空；面對機遇沒猶豫，面對逆境卻躊躇,20241225,19,463.39,film_clip,林黛,False,1333,1188,17,0.8912228057014253
1Hj6ncrJr0c,【沙田穗禾苑「圍網」拆卸前後】這代表帶走了一切問題嗎？,20251208,6,15.23,contemporary,,False,45,40,6,0.8888888888888888
1Mz-sKyoEy8,【一生中最愛】佛山順德順峰山公園花海前獻唱,20230216,5,24.54,song,獻唱,False,42,36,4,0.8571428571428571
1VbNiBxwg9M,【齊來跟林鄭學嘢】第五波疫情處於高峰平台期，仍然上升或正下降，暫時言之尚早。識得用咁嘅口吻，就唔使畀人成日話「唔嫁又嫁」、「反口覆舌」la！,20220313,21,175.26,contemporary,,False,562,537,21,0.9555160142348754
1W1EWr_0bg8,【告別球王比利】《球王的哀與頌》,20221230,7,91.78,contemporary,,False,200,185,7,0.925
1WefYlPx6ok,【廣東話講呢啲】叫雞出處 - 原來「叫雞」唔關「雞」事！點解「干犯嫖娼」講做「衰叫雞」？,20220919,15,140.22,contemporary,,False,439,400,15,0.9111617312072893
1qtodTd6UME,今時今日「想襟撈」就要聽諸葛亮講「知所乜乜」、「知所物物」,20240817,3,69.43,contemporary,,False,183,158,3,0.8633879781420765
1uc4tqpk9o0,【林鳳嗲死人冇命賠】關關雎鳩非講粗口，窈窕淑女人人想溝；溝之不得講嘢甩咳，再溝不得經脈閉塞,20241204,9,120.58,film_clip,林鳳,True,350,221,9,0.6314285714285715
238-IIxY3Pw,【天國一方III】謹此向新冠疫情期間作出無私奉獻的人士致敬；重編《天各一方》；獨白感悟生死人生、歌詞洗滌心靈思緒,20220519,14,219.84,contemporary,,False,596,501,14,0.8406040268456376
2VLM3MhnyEE,【諸事八卦】呢鑊，你孭鑊！This Wok; You Carry Wok！同「鑊」有咩關係？「孭鑊」鬼佬點講？,20220129,11,172.13,contemporary,,False,536,486,11,0.9067164179104478
2VmuNpNnUEU,【蘇東坡給世人的「人生啟示」】寄蜉蝣於天地，渺滄海之一粟,20251012,4,51.87,contemporary,,False,167,142,4,0.8502994011976048
2Y6itphxVyc,【深度懷念至愛林鳳】大江東去不復返， 似水流年莫輕嘆,20241110,9,37.47,film_clip,林鳳,True,42,36,3,0.8571428571428571
2a1fdlEvm-s,"【李小龍「再度」演繹】英文 ""Be Water"" vs 廣東話 ""如水""",20250915,4,55.49,film_clip,李小龍,True,53,49,3,0.9245283018867925
2anuRVG0ZBc,【安倍晉三遇刺身亡】日本首相~左騰右騰，香港人創造的歇後語,20220708,6,100.42,contemporary,,False,316,276,6,0.8734177215189873
2oJ2qkdgZTw,【百年廖孖記腐乳王】廖孖記受壓執笠，老用家自然心悒,20240720,3,62.81,contemporary,,False,140,121,3,0.8642857142857143
2wdfJrsnKME,【美都餐室復業-彈出彈入】《72載美都情緣續》,20221028,7,103.94,contemporary,,False,326,300,7,0.9202453987730062
389l_ackzDg,【芳芳謝賢齊共舞，應該搵多次都冇】謝賢芳芳昔愛侶，分手多年欣共聚；翩翩起舞牽回憶，人生變幻眼前惜,20250427,5,111.03,film_clip,謝賢,True,454,271,5,0.5969162995594713
3KG2fqfQMG4,【有其利必有其害】「牆梯」設計都方便咗啲賊佬同流浪貓光顧你屋企,20260719,6,35.14,contemporary,,False,107,93,6,0.8691588785046729
3TNcMupTFTQ,尋找李小龍在「赤航」的日子,20251015,6,86.65,film_clip,李小龍,True,322,291,6,0.9037267080745341
3aBRmQ-C51o,YS9a 《多女唔使靠偉哥》,20220116,4,48.83,contemporary,,False,140,134,4,0.9571428571428572
3g0OEhAgPHw,【宇宙最強甄子丹】也有「失腳」時！,20240807,5,86.2,contemporary,,False,310,229,5,0.7387096774193549
3gtSu-CaA6o,【7個銅錢分兩份】估一個廣東話歇後語（2個答案）,20251215,11,34.84,contemporary,,False,105,98,11,0.9333333333333333
3kTKtsSunlg,YS1b 《粉丝经》 浓缩版,20211231,34,281.09,contemporary,,False,554,499,24,0.9007220216606499
3zxz0AndPt0,【王傑式-天長地久，曾經擁有】問世間情為何物，直教生死相許；為咗愛情，竟然連條命都可以唔顧！,20251007,2,25.54,contemporary,,False,72,61,2,0.8472222222222222
47F3lTVpOxc,【《似水流年1984》傳達咗一個重要信息】似水流年不復返，何須成日空嗟嘆；有返咁上下年紀，每日都係賺返嚟,20250612,7,163.19,contemporary,,False,577,428,7,0.7417677642980935
4BE3O130ubk,伍允龍響佢第1部做主角嘅《惡戰》裡頭扮演馬永貞，同陳觀泰72年飾演嗰個點比？,20240601,6,60.26,contemporary,,False,211,186,5,0.8815165876777251
4Eyz895ZCwE,林作vs李龍基：寸你前女友嫁人，攬你裕美過日辰,20240329,4,79.84,film_clip,李龍基,False,187,161,4,0.8609625668449198
4FiG0IQi__Y,【廣東話講呢啲】做雞出處 - 原來「做雞」唔關「雞」事！,20220919,5,79.52,contemporary,,False,238,224,5,0.9411764705882353
4YsyGfojh30,【何詩蓓惡搞何鯊蓓】改下名移燈換凳，呢個名注定封神,20240803,3,57.05,parody,惡搞,False,132,115,3,0.8712121212121212
4bPrey4Dpqo,《尋找他留鬚的故事1》：李小龍出席嘉禾72新春團拜,20240224,8,215.68,film_clip,李小龍,True,785,642,8,0.8178343949044586
4fkaKsVNx9I,【聽林子祥、葉蒨文《選擇》-人生有感】選擇一起單方面，出於蒙蔽禍害延；選擇一起雙方面，一生面對大挑戰,20250628,11,81.79,contemporary,,False,160,143,7,0.89375
4iTUm1J-v0Q,【鄭少秋見證「犀利平」杜平至犀利時刻】有水有水，冇水冇水；要水過水，冇水散水,20250201,12,186.74,contemporary,,False,695,469,11,0.6748201438848921
4kMF-rVbqAc,【廣東話講呢啲】滑劣劣、滑捋捋、滑嘟嘟 - 邊個至滑？,20220815,24,335.04,contemporary,,False,1011,876,22,0.8664688427299704
4mGjUrWl1mg,【油罐咖啡廳】蔗渣價錢非凡感，消閑極致此中尋,20240620,5,66.69,contemporary,,False,158,142,5,0.8987341772151899
4n7T0KeQohU,【倪匡的人生總結(上集)】此生將盡，兩句話可以概括，曰：七八十年皓皓粼粼無為日，五六千萬炎炎詹詹荒唐言,20220706,12,176.42,contemporary,,False,568,474,12,0.8345070422535211
4wZ7DlNlsc0,伍允龍響部陣容鼎盛嘅《惡戰》裡頭打到飛起，部戲都會「仆街」嘅？,20240601,7,163.07,contemporary,,False,611,540,7,0.88379705400982
506blxP58ts,點解叫「屁股」做「籮柚」同「八月十五」？,20220906,9,90.85,contemporary,,False,282,243,9,0.8617021276595744
5AOk21eO0qQ,【兔年祈福至堅我，祝願邊個夠我多】,20230120,10,89.02,contemporary,,False,200,176,10,0.88
5AZhNz5cx2U,【大澳邊陲奇石-人生有感】驟看似亂石一堆，細看似另有玄虛；命途遇上絆腳石，一齣現實考驗劇,20250527,4,44.5,contemporary,,False,103,89,4,0.8640776699029126
5LoulL1GewE,獅子山航拍：港人獅山情意結，不亢不卑不屈折,20240406,4,32.45,contemporary,,False,76,71,4,0.9342105263157895
5RR0aZa2rYA,YS2b1 《耐人寻味》 同场加映,20211231,16,303.04,contemporary,,False,861,638,15,0.7409988385598142
5T2Qgn2fXJQ,【生命不在乎得到什麼，只在乎做過什麼】黄家駒這金句怎樣生成(下),20220605,13,140.48,contemporary,,False,380,354,13,0.9315789473684211
5V8WhI7pCx8,陳百強1982年憑《今宵多珍重》踏上青雲路,20241109,19,174.34,contemporary,,False,334,202,13,0.6047904191616766
5X3tKt091aE,【聽林子祥、盧冠廷、劉德華、張國榮《最愛是誰》-人生有感】愛到分離沒有愛，男女要有這氣概；愛到分離仍有愛，自己對方同受害,20250627,11,133.44,contemporary,,False,244,182,9,0.7459016393442623
5_K4QNe6E6o,【《哀我悼我黃家駒》】紀念黃家駒60歲冥壽；蘇東坡【水調歌頭】版；【光輝歲月】鋼琴伴白；但願歌長留，曲續未了緣,20220602,14,73.89,contemporary,,False,154,144,14,0.935064935064935
5cfJTCXcEw0,【點撳住年青人把慾火】日本羽毛球女神「志田千陽」同「華仔」教路,20240830,4,96.15,contemporary,,False,242,220,4,0.9090909090909091
5hG8TnYMs60,【曾江教你點同老伴相處】我愛春花和秋月，也愛夏日和冬雪,20220511,24,194.9,contemporary,,False,491,434,24,0.8839103869653768
5ihVDACK8xo,【粤语朗读】《生查子•元夕》宋 欧阳修；附译文、评析；应景！,20220215,5,100.42,contemporary,,False,269,259,4,0.9628252788104089
5j651zUx6q4,【連曾志偉都未必想睇返嘅片】當年嘅曾志偉就係張柏芝口中嘅「死茄哩啡」,20240917,17,112.58,contemporary,,False,248,177,8,0.7137096774193549
5o1doRRWOUA,【口輕輕、下巴輕輕】點解咁講?,20220828,6,57.6,contemporary,,False,162,149,6,0.9197530864197531
5p4bNH4gnH0,「阿哥哥小姐」黎愛蓮 Irene Ryder 大騷 A Go Go 舞技；仲有好細路女嘅對白,20240913,5,119.74,contemporary,,False,447,361,5,0.8076062639821029
5wSWQYFvHwk,【《滕王閣序》王勃】落霞與孤鶩齊飛，秋水共長天一色,20250917,4,51.23,contemporary,,False,154,149,4,0.9675324675324676
5y6wjeJR5Cg,【GOD Translate 神翻譯(2)】「腸仔包」譯做「Intestinal Pouch」,20241203,3,47.2,contemporary,,False,97,74,3,0.7628865979381443
6-mh40eytMI,【李小龍至型仔Look】至鍾意呢副「黑超」！,20250715,4,47.19,film_clip,李小龍,True,157,143,4,0.910828025477707
67euLhPd3ro,【萬人迷林鳳《星馬風光1959》】17歲卜卜脆薛家燕同33歲英俊瀟灑曾江「站台」,20241016,3,34.62,film_clip,林鳳,True,116,102,3,0.8793103448275862
6DmMwkK_tSo,【千祈千祈千祈，洗手洗手洗手】好心董建華夫人，沙士落區教市民；千祈三次要洗手，淪為笑柄冇你修,20221015,5,85.2,contemporary,,False,302,202,5,0.6688741721854304
6E6uYzwHRcg,【曾江教你如何看待老】,20220510,28,196.63,contemporary,,False,567,523,27,0.9223985890652557
6IsyZ4tTrp8,《今時今日神州大地》同人唔同命；同遮唔同柄,20240419,4,29.79,contemporary,,False,64,53,4,0.828125
6SwkF4lY6gI,睇10歲嘅李小龍幾咁有「雷氣」！,20250221,14,183.1,film_clip,李小龍,True,708,384,14,0.5423728813559322
6b_trwoU-Bs,【李小龍的Be Water名言】盲人追兇(Longstreet) 中的版本[附中英字幕],20240822,5,70.05,film_clip,李小龍,True,136,119,3,0.875
6klshR-YtEw,【鍾玲玲《心有千千結》】蕭芳芳在電影《窗》中飾演的先天盲女最終得以重見光明,20241001,19,181.76,contemporary,,False,399,256,18,0.6416040100250626
6kxnMsvfArE,【Tai chi in Hong Kong】養生太極在沙田，常耍益壽又延年；楊氏85式太極拳,20230219,6,76.35,contemporary,,False,218,203,6,0.9311926605504587
6qI6TJvLEFI,【《偶爾憶起黃家駒》】徐志摩《偶然》版；【光輝歲月】結他伴白,20220620,9,59.84,contemporary,,False,137,119,9,0.8686131386861314
6qbasnLUeLs,"【李小龍逝世52周年(20-7-2025)】小龍，常時記著你(Bruce Lee, remember you always)",20250719,10,106.42,film_clip,李小龍,True,122,108,6,0.8852459016393442
6rmTqvCtEuM,【粵語朗讀】《再別康橋》佳句 徐志摩,20220207,3,28.96,recitation,朗讀,False,78,69,3,0.8846153846153846
6zVyUvw0JfU,【日本世杯外圍賽血洗中國7：0】要講做「從速收皮」先啱！,20240910,6,177.24,contemporary,,False,638,557,6,0.8730407523510971
7CGgQCUOJbw,【好懷念琴姐嗰句口頭禪「嫲嫲喺大廳」】嫲嫲仲有金句未出街,20240810,3,51.49,contemporary,,False,183,165,3,0.9016393442622951
7LuAjOjXab4,【大澳舊貌重現-人生有感】東方有個威尼斯，坐落大澳耐歷史；雨打風吹雷電降，捍衛家園不投降,20250829,5,79.74,contemporary,,False,188,162,5,0.8617021276595744
7MLzvAy3CuM,【十下十下(2)】10個「性行為」嘅香港人叫法(冇粗口字),20240602,11,25.57,contemporary,,False,75,55,11,0.7333333333333333
7N9pz7fZQ4E,【巴黎奧運何詩蓓未能如願可奪金】你的付出全港知，如何也鼎力支持,20240801,5,64.7,contemporary,,False,160,150,5,0.9375
7U3LKpXaBds,李小龍個乳名點解叫「細鳳」唔叫「細龍」,20240215,5,98.88,film_clip,李小龍,True,337,294,5,0.8724035608308606
7ZDZVThmWfA,【太極、四川變臉以及各家武術表演】陳勵雄師傅72壽誕、骨質研究太極班暨同學會26周年晚宴,20241126,8,72.42,contemporary,,False,243,216,8,0.8888888888888888
7kWXOgdcn4c,【宏福苑大火-收風立拆網，無私顯見私】世紀慘案待徹查，不分大細你我他；望冤魂早登天界，受災家人早釋懷,20251130,5,73.86,contemporary,,False,174,145,5,0.8333333333333334
7qisH4fL9qY,【《歲月神偷》歲月輕狂(鋼琴版)】《歲月神偷》編劇、導演 羅啟銳先生走了！一路好走！,20220705,2,8.96,contemporary,,False,20,20,2,1.0
7uMXWgvf_IU,【蔣志光、韋綺姍唱《相逢何必曾相識》】兼唱「羅樂林燒衣版」「 Big Mac 版」,20260330,10,216.38,contemporary,,False,471,397,7,0.8428874734607219
83ipAZp4hr8,【林鳳同舞王修胡楓、李小龍堂姐夫俞明大跳「扭腰舞」】扭身扭勢籮柚西，衛道之士冇眼睇；扭腰擺臀非失禮，跳出纖腰好美麗,20241028,3,28.7,film_clip,李小龍|林鳳,True,69,60,3,0.8695652173913043
88h7OzVLzeI,《再會康橋》—徐志摩《再別康橋》反向版,20260713,11,95.22,contemporary,,False,251,190,10,0.7569721115537849
8G6DH4n9U9Y,【「達哥」胡說八道「截拳道」】知的不是道，明的不是道；有的不是道，無的才是道,20250716,4,79.67,contemporary,,False,20,17,2,0.85
8fXeD7pKbWI,【人生有感】天上架起一堵牆，無阻有志天翱翔；雲牆雖厚總會散，又過山峯又過灘,20260128,3,28.61,contemporary,,False,66,58,3,0.8787878787878788
8jJY637fQik,李小龍當年受訪時「神回答」：你當自己係中國人定美國人？,20240823,6,132.7,film_clip,李小龍,True,485,448,6,0.9237113402061856
8sDvUH7x4iw,【廣東話講呢啲】 賣仔莫摸頭，摸親眼淚流 - 典故？,20220826,9,99.68,contemporary,,False,298,268,9,0.8993288590604027
8wflrDLxY84,【一個忘年冤孽愛情故事】何伯河馬式「天長地久、曾經擁有」,20240918,3,41.82,contemporary,,False,100,89,3,0.89
8x5JiKy8RFY,YS2b 《耐人寻味》,20211231,17,150.59,contemporary,,False,382,303,15,0.7931937172774869
8xIvuJoS5Pg,「好客之道」古天樂以過來人身分同你講「今時今日，做人之道」,20240812,5,67.29,contemporary,,False,246,167,5,0.6788617886178862
9GKnaIpqSRA,【石堅證實李小龍「冇時停」】係芳艷芬先治到佢企定定！,20250119,14,136.13,film_clip,李小龍|芳艷芬|石堅,True,467,288,14,0.6167023554603854
9T8KWGl2ZZQ,【有一種魅力叫「鍾玲玲」】點止「正」咁簡單！,20251202,2,4.83,contemporary,,False,15,15,2,1.0
9oz0BewUmo4,【詞窮】填來填去四個字，物轉星飛亂交替；沒有物轉星飛，只有物換星移...,20220810,25,374.37,contemporary,,False,1106,1005,25,0.9086799276672695
9saz0VPG-To,【諸事八卦】斷估；斷估冇痛苦,20220131,5,49.98,contemporary,,False,164,152,5,0.926829268292683
AOgZUuWbLoE,【黎愛蓮 Irene Ryder 盡顯唱功 -你不用說你愛我】《You don't have to say you love me》,20250614,6,102.06,contemporary,,False,367,329,5,0.896457765667575
AP22Vghq_58,【十下十下(7)】10個香港人「老母」嘅叫法(你識幾多個？你叫邊幾個？),20240613,7,29.73,contemporary,,False,84,80,7,0.9523809523809523
AYmhFCZIO0w,【東方差利卓別靈鄭君綿《賭仔自嘆》】由差利卓別靈唱呢支歌仔就最盞鬼嘞！,20240928,6,121.54,contemporary,,False,388,249,6,0.6417525773195877
A_iOhZBEuPQ,【詩經《國風．關雎》】窈窕淑女，君子好逑；求之不得，輾轉反側,20250916,5,37.7,contemporary,,False,107,93,4,0.8691588785046729
Ac1e1ibIHpk,【北國傳來飄雪情，心繫香港共溫馨】飄雪-花咲〈旅路,20221224,4,68.54,contemporary,,False,164,150,4,0.9146341463414634
AiKOYN8H1EU,【雞碎；雞忘記】雞碎咁多都要啄，許冠傑就係咁唱；雞碎咁多有幾多，雞忘記又搞邊科,20221019,14,201.34,contemporary,,False,682,631,14,0.9252199413489736
AmHA9dbYFy0,【芳芳修哥相約 Disco】修哥芳芳繼續跳，豐盛人生 keep 住潮,20260104,5,17.73,contemporary,,False,42,33,5,0.7857142857142857
BHn7eeA0BVo,【顧嘉「輝」定顧嘉「煇」？】講落有段古,20230108,6,102.4,contemporary,,False,264,236,6,0.8939393939393939
BKWMXVpYcP4,舞青龍賀青衣天后誕實況,20240510,4,57.94,contemporary,,False,182,174,4,0.9560439560439561
BQysXN0mc0g,【粵語朗讀】《生查子•元夕》宋 歐陽修；附譯文、評析；應景！,20220215,5,100.42,recitation,朗讀,False,269,258,4,0.9591078066914498
BUL3p_uvehs,【曾志偉捲入賣假香港月餅風波】不在乎你袋幾多，只在乎咪當我傻,20240917,2,37.22,contemporary,,False,9,9,1,1.0
BWbT_CqORko,【微笑劍后江旻憓宣布退役】告別體壇終有日，忘卻天地得與失,20240804,5,96.58,contemporary,,False,222,205,5,0.9234234234234234
BZ4zd3idtVY,【李小龍「型人型車」】連攞個車牌都有心思過人！,20251228,6,78.52,film_clip,李小龍,True,224,166,6,0.7410714285714286
BgtPMo7NmOs,北上尋歡：航拍盡現好風光，無怪香港變空港,20240403,4,32.96,contemporary,,False,74,66,4,0.8918918918918919
Bwm3SWdYJnQ,【國粵語片時代兩大尤物葛蘭、林鳳表演「Flamenco佛蘭明高舞」】林鳳嬌柔，葛蘭狂野；情緒帶動，舞式即興,20241028,4,43.74,film_clip,林鳳|粵語片,True,167,147,4,0.8802395209580839
CHlnwI3VY6E,【林鳳唱跳《狂歌熱舞1966》】人靚歌甜有氣質，唱得跳得仲打得；由頭靚到腳趾公，歌舞女王把佢封,20241013,10,122.82,film_clip,林鳳,True,391,260,10,0.6649616368286445
CMRF9UwRKpY,【李小龍同細佬李振輝-全港cha cha邀請賽冠軍(1958)】睇下呢對騎呢舞伴跳成點？,20250913,7,50.66,film_clip,李小龍,True,137,102,7,0.7445255474452555
CdhQt9XM4G0,Bruce Lee’s “Formless Way” is just like that!李小龍「無形之道」就係咁樣！,20251125,5,98.46,film_clip,李小龍,True,20,17,2,0.85
CfZWjk-lBJs,【鍾玲玲主唱麗的《電視人77》主題曲】在我你的人生史，曾遇甜蜜痛苦事；不知此刻在扮誰，是我你的醒與醉,20260301,13,197.9,song,主題曲|主唱,False,336,154,13,0.4583333333333333
ChuWKGky328,【人間有情，天地有義】疫情派飯老人家，無名善長真堪誇,20221008,12,85.98,contemporary,,False,233,221,12,0.9484978540772532
Clf5BfnM9Jw,【睇林鄭學廣東話】再唔打針去「飛髮」就係「非法」！有冇諗過點解「剪髮」叫「飛髮」？,20220222,9,117.12,contemporary,,False,371,362,9,0.9757412398921833
D4tcSVKiT5s,【智慧老人楚原同你「解愁」】我問秋風何時愁，秋風笑我何事憂；不過人生一過客，何苦傷春又悲秋,20251012,2,32.03,contemporary,,False,85,77,2,0.9058823529411765
DJBEpeA9Vrw,薰妮《每當變幻時》；懷緬過去常陶醉；沒有懷緬過去，只有緬懷過去,20220810,23,303.9,contemporary,,False,919,763,23,0.8302502720348205
DKWM_Jesc2E,【AI將童謠變成真】大笨象，揸支槍，去打仗；打唔贏，返嚟食碗辣椒醬,20250911,3,31.81,contemporary,,False,73,63,3,0.863013698630137
DS1XikAPAvI,【唔怕生壞命，最怕改壞名】老豆你叫「井淼」，我井莉個仔改「鑫淼」，係咪好得呢?,20220801,16,99.26,contemporary,,False,251,240,15,0.9561752988047809
DUsvDjI7DQY,【God save the Queen事頭婆傳頌版】《處處都望見花》英國駐香港總領事館弔唁英女皇 14-9-2022,20220914,4,11.81,contemporary,,False,29,22,3,0.7586206896551724
DXevfNOda1Y,【孤星血淚1955】8歲嘅蕭芳芳點解吸引到15歲嘅李小龍？,20250707,9,71.54,film_clip,李小龍,True,248,179,9,0.7217741935483871
DcQSQOjoUvs,【「三毫子小姐」森森軼事】李小龍想栽培森森做「打女」？,20251223,11,163.1,film_clip,李小龍,True,619,533,11,0.8610662358642972
DlTr0cIV3pI,【諸事八卦】Covid 點「收科」？將會成為風土病！英文會唔會係 Wind-Earth Disease?,20220220,11,79.65,contemporary,,False,203,195,9,0.9605911330049262
Dx2wTJvIagk,【振奮人心解防措，早就應該咁樣做】好了傷疤忘了痛！,20221229,7,71.52,contemporary,,False,179,168,7,0.9385474860335196
DxIZchf4AhY,【第 1 代天氣女郎】鍾玲玲家姐鍾曉薇、才女林燕妮、女強人周梁淑怡,20260112,12,153.47,contemporary,,False,344,301,9,0.875
E38mAVkj75o,仙杜拉響《啼笑因緣》首歌度教你矯正「懶音」,20240428,10,101.59,contemporary,,False,312,285,10,0.9134615384615384
E9t_dwH76xA,【廖孖記加工腐乳】違反《商品說明條例》？,20240722,6,82.65,contemporary,,False,205,192,6,0.9365853658536586
E_-8NpZvgX8,【修哥60大壽(1992)】胡楓六十歲大壽，芳芳助興冇得走；事隔多年再共舞，人生至此復何求,20250505,3,17.88,contemporary,,False,47,41,3,0.8723404255319149
EeylsOcnkV0,【劉德華式-天長地久，曾經擁有】天涯地角有窮時，只有相思無盡處；愛之深，分更痛！,20251008,2,28.22,contemporary,,False,72,67,2,0.9305555555555556
EjuEqBFmEec,李小龍同苗可秀1972年嘅《羅馬假期》,20251207,7,90.66,film_clip,李小龍,True,369,245,7,0.6639566395663956
EmrhZY6LBz8,【《個個揸住個兜》】賭仔自嘆版Vs周星馳賭仔自嘆,20220922,4,33.47,contemporary,,False,66,23,4,0.3484848484848485
EsZChyzmWBk,【日本首相左騰右騰/日本首相左揗右揗】邊個啱定兩個都錯?,20220709,11,103.33,contemporary,,False,256,200,11,0.78125
F38e7ixY4a4,林黛響《千嬌百媚1961》度大跳「肯肯舞 cancan」,20250516,7,114.87,film_clip,林黛,False,427,323,7,0.7564402810304449
F8HqdV6ZH6M,李小龍在「遺失的訪談1971」中首度公開評價「太極拳」,20230804,7,140.83,film_clip,李小龍,True,262,247,4,0.9427480916030534
FQbcVgnA-Iw,【張衞健齊天大聖vs張衞健孫悟空】香港史上最玩嘢《一日一蘋果》,20240818,4,45.54,contemporary,,False,137,116,4,0.8467153284671532
G1CmViCBoyE,YS8b 《朱门怨》,20220115,4,50.69,contemporary,,False,132,123,3,0.9318181818181818
G4HXoD0Za0U,【廣東話講呢啲】劏豬凳 - 伍姑娘係「劏豬凳」？一上就死/上嚫就死！,20220413,22,273.63,contemporary,,False,925,831,22,0.8983783783783784
GEIQJZJwm1k,【懷念周驄】九十二駕鶴西歸，光影藝悉數留低,20250705,11,193.38,contemporary,,False,600,327,11,0.545
GFVh0R4C_Bw,【永遠懷念鄭佩佩】鄭佩佩18-25歲的青蔥歲月,20240722,6,63.83,contemporary,,False,204,193,6,0.946078431372549
GMkEvBXdQvQ,YS1c2 《粉絲經》 誦讀版,20220112,7,92.16,recitation,誦讀,False,98,86,4,0.8775510204081632
GQvPGbh4Wcs,YS4a 《洪門宴》,20220112,6,66.98,contemporary,,False,118,114,4,0.9661016949152542
GVMVx2z4_2w,【林鳳自創呼拉圈舞】搖呼拉圈嚟健身，當年林鳳第一人；絕技被搬上銀幕，渾身解數添視覺,20260306,3,32.61,film_clip,林鳳|銀幕,True,76,69,3,0.9078947368421053
GjammNDiAvI,【聞一多《也許-葬歌》】也許你真是哭太累；也許，也許你要睡一睡,20250914,5,83.48,contemporary,,False,227,195,5,0.8590308370044053
Gv-5FWKl3Is,【AI時代畢業哀歌-懷疑人生】由楚原「穿越時空」演繹如來佛祖「指點迷津」,20250720,5,84.34,contemporary,,False,190,99,5,0.5210526315789473
GyF3MkvI5_Q,【悼念家駒詩文】《也許你裝著睡一睡》聞一多《也許》版；世上縱有千萬曲，少了家駒曲不足,20220630,18,92.06,contemporary,,False,257,237,18,0.9221789883268483
H76OGYLhQ3k,【李龍基王青霞鬧劇】佢去踎監你留低，繼續登台唱過世,20240310,6,71.74,film_clip,李龍基|王青霞,False,168,144,6,0.8571428571428571
H8P8xQmhwNc,【李小龍舊日的足跡】海運大廈天台停車場1972,20230726,3,45.14,film_clip,李小龍,True,161,149,3,0.9254658385093167
HWBsd3FAzc0,《莊子「魚之樂」番外篇》：你唔係我，點知我唔happy？,20240501,9,194.59,contemporary,,False,636,511,9,0.8034591194968553
HaFoIJ9r5BA,【祝賀江旻憓勇奪香港史上第3金】微笑劍后名永留，功在當代利千秋,20240728,7,93.5,contemporary,,False,258,222,7,0.8604651162790697
HudUFSsgtdY,由「阿倫狄龍」同「李小龍」兩位龍哥示範French Kiss「法式接吻」,20240822,6,73.41,film_clip,李小龍,True,234,144,6,0.6153846153846154
HvzKA_f6270,【緬懷一代賭王何鴻燊】心中賭王只一個，從此告別我燊哥,20220523,12,127.36,contemporary,,False,345,325,12,0.9420289855072463
